,Unnamed: 0,index,Track Name,Artist,love,Uncertainty,Explictives,German,Swedish,Dutch,Spanish
105,105.0,771727.0,Die For You,The Weeknd,0.0,1.0,0.0,0.0,0.0,0.0,0.0
106,106.0,771728.0,Selfish,PnB Rock,0.0,1.0,0.0,0.0,0.0,0.0,0.0
107,107.0,771729.0,Weak,AJR,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108,108.0,771730.0,Come and See Me (feat. Drake),PARTYNEXTDOOR,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109,109.0,771731.0,Twist And Shout - Remastered 2009,The Beatles,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110,110.0,771732.0,Make Me (Cry),Noah Cyrus,0.0,1.0,0.0,0.0,0.0,0.0,0.0
111,111.0,771733.0,No Flockin,Kodak Black,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112,112.0,771734.0,Father Stretch My Hands Pt. 1,Kanye West,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113,113.0,771735.0,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,fun.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
114,114.0,771736.0,Respect,Aretha Franklin,0.0,1.0,0.0,0.0,0.0,0.0,0.0
115,115.0,771737.0,Litty (feat. Tory Lanez),Meek Mill,0.0,0.0,1.0,0.0,0.0,0.0,0.0
116,116.0,771738.0,Congratulations,Post Malone,1.0,0.0,0.0,0.0,0.0,0.0,0.0
117,117.0,771739.0,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,0.0,1.0,0.0,0.0,0.0,0.0,0.0
118,118.0,771740.0,Superstition - Single Version,Stevie Wonder,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119,119.0,771741.0,Sorry,Justin Bieber,0.0,0.0,1.0,0.0,0.0,0.0,0.0
120,120.0,771742.0,Uber Everywhere,MadeinTYO,0.0,1.0,0.0,0.0,0.0,0.0,0.0
121,121.0,771743.0,Pop Style,Drake,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122,122.0,771744.0,Sunset Lover,Petit Biscuit,1.0,0.0,0.0,0.0,0.0,0.0,0.0
123,123.0,771745.0,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,0.0,0.0,1.0,0.0,0.0,0.0,0.0
124,124.0,771746.0,You Can Call Me Al,Paul Simon,0.0,1.0,0.0,0.0,0.0,0.0,0.0
125,125.0,771747.0,Moves,Big Sean,0.0,1.0,0.0,0.0,0.0,0.0,0.0
126,126.0,771748.0,That's What I Like,Bruno Mars,0.0,1.0,0.0,0.0,0.0,0.0,0.0
127,127.0,771749.0,The Hills,The Weeknd,1.0,0.0,0.0,0.0,0.0,0.0,0.0
128,128.0,771750.0,Hotline Bling,Drake,1.0,0.0,0.0,0.0,0.0,0.0,0.0
129,129.0,771752.0,Roses,The Chainsmokers,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130,130.0,771753.0,Deja Vu,Post Malone,1.0,0.0,0.0,0.0,0.0,0.0,0.0
131,131.0,771754.0,Setting Fires,The Chainsmokers,1.0,0.0,0.0,0.0,0.0,0.0,0.0
132,132.0,771755.0,Don't Stop Me Now - Remastered,Queen,1.0,0.0,0.0,0.0,0.0,0.0,0.0
133,133.0,771756.0,You Shook Me All Night Long,AC/DC,0.0,1.0,0.0,0.0,0.0,0.0,0.0
134,134.0,771757.0,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,1.0,0.0,0.0,0.0,0.0,0.0,0.0
135,135.0,771758.0,Light,San Holo,1.0,0.0,0.0,0.0,0.0,0.0,0.0
136,136.0,771759.0,P.Y.T. (Pretty Young Thing),Michael Jackson,0.0,1.0,0.0,0.0,0.0,0.0,0.0
137,137.0,771760.0,Famous,Kanye West,0.0,0.0,0.0,0.0,0.0,0.0,1.0
138,138.0,771761.0,Brown Eyed Girl,Van Morrison,0.0,1.0,0.0,0.0,0.0,0.0,0.0
139,139.0,771762.0,Call Me Maybe,Carly Rae Jepsen,1.0,0.0,0.0,0.0,0.0,0.0,0.0
140,140.0,771763.0,Water Under the Bridge,Adele,0.0,0.0,1.0,0.0,0.0,0.0,0.0
141,141.0,771764.0,Tiimmy Turner,Desiigner,1.0,0.0,0.0,0.0,0.0,0.0,0.0
142,142.0,771765.0,My House,Flo Rida,1.0,0.0,0.0,0.0,0.0,0.0,0.0
143,143.0,771766.0,Say It (feat. Tove Lo),Flume,0.0,1.0,0.0,0.0,0.0,0.0,0.0
144,144.0,771767.0,Purple Lamborghini (with Rick Ross),Skrillex,1.0,0.0,0.0,0.0,0.0,0.0,0.0
145,145.0,771768.0,Secrets,The Weeknd,0.0,1.0,0.0,0.0,0.0,0.0,0.0
146,146.0,771769.0,7 Years,Lukas Graham,0.0,1.0,0.0,0.0,0.0,0.0,0.0
147,147.0,771770.0,My Girl,The Temptations,1.0,0.0,0.0,0.0,0.0,0.0,0.0
148,148.0,771771.0,Feel So Close - Radio Edit,Calvin Harris,0.0,1.0,0.0,0.0,0.0,0.0,0.0
149,149.0,771772.0,Antidote,Travis Scott,1.0,0.0,0.0,0.0,0.0,0.0,0.0
150,150.0,771773.0,True Colors,The Weeknd,0.0,1.0,0.0,0.0,0.0,0.0,0.0
151,151.0,771774.0,Gassed Up,Nebu Kiniza,1.0,0.0,0.0,0.0,0.0,0.0,0.0
152,152.0,771775.0,Capsize,FRENSHIP,0.0,1.0,0.0,0.0,0.0,0.0,0.0
153,153.0,771776.0,I Would Like,Zara Larsson,1.0,0.0,0.0,0.0,0.0,0.0,0.0
154,154.0,771777.0,PILLOWTALK,ZAYN,0.0,1.0,0.0,0.0,0.0,0.0,0.0
155,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
156,156.0,771779.0,Lot to Learn,Luke Christopher,0.0,1.0,0.0,0.0,0.0,0.0,0.0
157,157.0,771780.0,No Type,Rae Sremmurd,0.0,0.0,1.0,0.0,0.0,0.0,0.0
158,158.0,771781.0,Wicked,Future,0.0,1.0,0.0,0.0,0.0,0.0,0.0
159,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160,160.0,771783.0,Cut It (feat. Young Dolph),O.T. Genasis,1.0,0.0,0.0,0.0,0.0,0.0,0.0
161,161.0,771784.0,What They Want,Russ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
162,162.0,771785.0,Rockin’,The Weeknd,1.0,0.0,0.0,0.0,0.0,0.0,0.0
163,163.0,771786.0,LUV,Tory Lanez,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164,164.0,771787.0,Hymn For The Weekend - Seeb Remix,Coldplay,0.0,1.0,0.0,0.0,0.0,0.0,0.0
165,165.0,771788.0,oui,Jeremih,0.0,1.0,0.0,0.0,0.0,0.0,0.0
166,166.0,771789.0,My Way,Calvin Harris,1.0,0.0,0.0,0.0,0.0,0.0,0.0
167,167.0,771790.0,My Shit,A Boogie Wit da Hoodie,0.0,0.0,0.0,0.0,0.0,0.0,1.0
