,Track Name,Artist,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,is_key_0,is_key_1,is_key_2,is_key_3,is_key_4,is_key_5,is_key_6,is_key_7,is_key_8,is_key_9,is_key_10,is_key_11
931,Fetish (feat. Gucci Mane),Selena Gomez,0.0204,0.708,186113,0.61,4.45e-06,0.0641,-4.522,1,0.0574,123.038,4,0.305,0,0,1,0,0,0,0,0,0,0,0,0
932,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,0.0148,0.763,260672,0.573,9.93e-06,0.18899999999999997,-8.652000000000001,1,0.14800000000000002,134.974,4,0.139,0,1,0,0,0,0,0,0,0,0,0,0
933,Groupie Love (feat. A$AP Rocky),Lana Del Rey,0.11800000000000001,0.353,264038,0.5920000000000001,2.55e-06,0.102,-7.3,1,0.0404,175.923,4,0.174,0,0,0,0,0,0,0,0,0,1,0,0
934,A Lie,French Montana,0.0235,0.516,226790,0.792,0.0,0.40399999999999997,-5.38,0,0.21600000000000003,121.189,5,0.524,0,1,0,0,0,0,0,0,0,0,0,0
935,Miracles (Someone Special),Coldplay,0.0164,0.626,276907,0.8220000000000001,0.000296,0.139,-5.501,1,0.0434,97.00299999999999,4,0.374,0,0,0,0,0,0,1,0,0,0,0,0
936,Woman,Kesha,0.0438,0.743,196360,0.765,0.0416,0.667,-3.5860000000000003,0,0.0389,114.991,4,0.33799999999999997,0,0,0,0,0,1,0,0,0,0,0,0
937,Lay It On Me,Vance Joy,0.0964,0.728,214853,0.6729999999999999,6.94e-06,0.0695,-5.766,1,0.0318,127.995,4,0.489,0,0,0,0,0,1,0,0,0,0,0,0
938,Jump,French Montana,0.0375,0.784,221837,0.494,0.0,0.102,-5.76,1,0.0409,111.979,4,0.175,1,0,0,0,0,0,0,0,0,0,0,0
939,Love U Better (feat. Lil Wayne & The-Dream),Ty Dolla $ign,0.0201,0.48200000000000004,182834,0.47700000000000004,0.0,0.251,-8.443999999999999,0,0.0503,117.85,5,0.379,0,0,0,0,0,0,0,0,0,0,1,0
940,True Feeling,Galantis,0.0775,0.588,238450,0.708,0.0006450000000000001,0.126,-4.053999999999999,1,0.042,127.961,4,0.22,0,0,0,0,1,0,0,0,0,0,0,0
941,Call Me,NAV,0.406,0.6729999999999999,215080,0.396,0.00255,0.12300000000000001,-8.545,0,0.10800000000000001,170.176,4,0.136,0,0,0,0,0,0,0,0,0,1,0,0
942,Sit Next to Me,Foster The People,0.11699999999999999,0.638,243147,0.738,0.000384,0.6890000000000001,-4.976,0,0.0292,97.021,4,0.657,0,0,0,0,0,0,1,0,0,0,0,0
943,Goodbye,Echosmith,0.0862,0.722,209333,0.63,0.0,0.106,-7.289,0,0.0434,111.985,4,0.479,0,0,0,0,1,0,0,0,0,0,0,0
