,Track Name,Artist,URL,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
47,Work,Rihanna,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,14WWzenpaEgQZlqPq2nk4v,0.0752,0.725,219320,0.534,0.0,11,0.0919,-6.238,1,0.0946,91.974,4,0.558
48,Call On Me - Ryan Riback Extended Remix,Starley,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,78rIJddV4X0HkNAInEcYde,0.0623,0.676,222041,0.843,0.000752,0,0.181,-4.068,1,0.0367,105.003,4,0.718
49,Swang,Rae Sremmurd,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL,6mapJIPnQ23RTAevUoE0DL,0.215,0.678,208120,0.317,4.31e-05,8,0.101,-9.427,1,0.0583,140.009,4,0.16
50,Six Feet Under,The Weeknd,https://open.spotify.com/track/4mU5iXHeLgbR94siF7p1sY,4mU5iXHeLgbR94siF7p1sY,0.102,0.768,237573,0.485,0.0,6,0.128,-8.435,0,0.0825,140.016,4,0.289
51,"How Far I'll Go - From ""Moana""",Alessia Cara,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,5hYTyyh2odQKphUbMqc5gN,0.157,0.314,175517,0.555,0.000108,9,0.067,-9.601,1,0.37,179.666,4,0.159
52,Send My Love (To Your New Lover),Adele,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb,4BHzQ9C00ceJxfG16AlNWb,0.0415,0.69,223080,0.524,3.16e-06,6,0.17,-8.39,0,0.103,164.023,4,0.562
53,Love Me Now,John Legend,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,6nxQdXa1uAL0rY72wPZu89,0.591,0.488,210293,0.762,0.0,8,0.0763,-3.842,1,0.0865,123.889,4,0.709
54,Love Yourself,Justin Bieber,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,3hB5DgAiMAQ4DzYbsMq1IT,0.835,0.609,233720,0.378,0.0,4,0.28,-9.828,1,0.438,100.418,4,0.515
55,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd,1lItf5ZXJc1by9SbPeljFd,0.00381,0.807,144244,0.887,0.0,1,0.391,-3.892,1,0.275,160.517,4,0.78
56,Jumpman,Drake,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ,27GmP9AWRs744SzKcpJsTZ,0.0565,0.853,205879,0.547,0.0,1,0.341,-7.535,1,0.194,142.065,4,0.676
